id	name	value
A12HZGOZQD5YK7	essay1	I agree that human's abilities will surely deteriorate from them relying on technology to solve problems because they aren't using their own judgement to make decisions. The less amount of time people use their own minds and judgement to make decisions the more they will rely on a machine or algorithm to make those decisions for them in the future and heavily rely on it to make more and more decisions. People will become more lazy and looking for easier way to accomplish things. People will be come dependent on the technology for everyday things and then more important decisions. As technology gets smarter, people will get dumber because they will have less of a need to do things for themselves.
A12HZGOZQD5YK7	essay2	It's important that the populations in the major cities be studied because human interactions happen more often in cities. Cities have the largest population of people from many different backgrounds and culture. It would be easier to get an overall idea of what is most important to a society by watching the interactions in their day to day lives. People in cities are more likely to discuss a larger range of topics as well. Smaller towns and rural areas usually focus more on ideas and local issues instead of broader ones. It would be more efficient in collecting data from a major city.
A12HZGOZQD5YK7	essay3	I believe that scandals are useful because they point out what needs to be fixed. Like in the banking industry, something is always fixed once a scandal has happened because the scandal allows us to see what loopholes or errors are in the current policies or procedures. A single person or organization could never make a society as a whole or corporation focus on their own mistakes as someone being able to take advantage of them. It brings awareness to what needs to be changed or completely removed. The most useful scandals are the ones where the people are caught and we are able to get the details of how they pulled it off. Most people or companies don't realize there is an issue until someone has taken advantage of them in some way.
A12LXY8U7NHI7W	essay1	As a teacher, I have seen how technology changes the thinking patterns of many of my students. Many of them do not enjoy the challenge or difficulty of solving complex problems. They like technology, but not the effort that comes with higher order thinking skills. Since implementing more technology into my classroom, many of my students are quick to give up on a task that requires them to think for themselves. They are also unwilling to try and come up with solutions when they think they know the answer but are not sure. Students are more concerned with getting the right answer, then flexing their cognitive muscles and trying out new and interesting skills.
A12LXY8U7NHI7W	essay2	In order to truly understand a society, it's important to study a wide demographic of people. While many people do live in major cities, there are also many who live in small towns or rural communities. These people may have drastically different values and lifestyles from people in major cities. Therefore, just as we would study people of different races or ethnic groups, it's also important to study different living environments. Only then, will we get a true picture of a society.
A12LXY8U7NHI7W	essay3	While scandals do command a great deal of attend, they usually serve to direct attention away from major issues and events. It's more important that we look at and consider the major issues of the day, instead of the major scandals. Many political figures will use a scandal to distract public interest from more pressing topics. It's important as news consumers that we are mindful of this and not let ourselves be fooled by these distractions. We will be better consumers of the news and more empowered as a result.
A12MV66U9VGLQ1	essay1	It seems likely indeed that humans will lose some skills as they rely more on technology. We have already lost the habit, if not the ability, of doing hand calculations. Many otherwise well educated children now do not know how to write script having been raised to word process most writing tasks. But, the extent to which technology can limit our problem solving skills cannot impinge on our ability to think. Thinking is innate to humans; problem-solving skills come and go.
A12MV66U9VGLQ1	essay2	"We may understand something about ""heart"" values by looking at the architecture preserved in a major city. Preserving beautiful old buildings may tell us that the preservers care about their history as well as their great creators. Along a similar line of thought,we may infer the same things from the presence of museums and opera houses. Many other facets of importance includde"
A12MV66U9VGLQ1	essay3	With any speaker, including reformers, there is always the probability that the speaker's  personal bias may conceal important facts.Natural human curiosity does focus attention on scandalous revelations because with a scandal, by definition, facts are bared.It is an article of faith that we can not only tolerate the truth, but, as well , use the truth well when given a chance. Scandal gives us the chaanc.
A13HZKB2NGZP6B	essay1	I believe there will instead be shifts in how we think rather than deterioration. Take for example a calendar; it used to be that you would remember either everything to do today or jot down everything on your calendar. Now we have cellphones which can not only hold all your future events but also set up reminders to future events. Would our memory deteriorate due to not having to remember things we jot down on a calendar? Possibly, possibly not. This also means that there are more things we can be concerned about that aren't about immediate things, such as concentrating on work. Technology can take care of the small stuff and give our brains more space to be concerned about bigger things.
A13HZKB2NGZP6B	essay2	"I would agree with this, as major cities are ""major"" for a reason. Take New York for example; what does New York embody that represents the characteristics of American society? Diversity; there are an array of not only people but shops and areas that bleed multi-cultural. Money; many, many banks and financial institutions are located in this state. History; many historic events have happened in this city that had changed the tide of America forever. The major cities contain so much information to give a clear picture of what's important in society. It would also be easy to study such cities; many of them have known records of what has happened in them."
A13HZKB2NGZP6B	essay3	"I would disagree; scandals show that something has gone on far enough to ultimately explode. First of all many speakers or reformers are whistleblowers who expose these scandals in the first place. For example Harvey Weinstein was finally taken down for his sexual harassment issues by women finally standing up to him. Second of all, speakers and reformers have usually talked about these issues but were ignored. Going back to Harvey; his sexual abuses were long hinted at and allured to by many people before the scandal even happened. Scandals are simply a way for people who have been under abuse for too long to say ""I warned you about this""."
A13PXTFOXDCKBF	essay1	While I can see why people would disagree, this is unfortunately a true statement. People have been conditioned to let machines do things for them. They no longer have to watch their spelling, they no longer have to learn how to navigate. People can completely avoid having to cook food if they want, they just have to pop it into a microwave. People don't even have to read how to do things, they can just watch a video or an article with pictures for how to do it. Ultimately, people will lose many abilities that we as a society had 20 years ago due to new enhancements in technology.
A13PXTFOXDCKBF	essay2	I think this statement is true. Cities tend to encompass a lot of things we observe in a society. Cities can be used to detect patterns and statistical truths that can be applied to society as a whole. For example, how people commute from the job to their home. How people react to new home buyers in their area. How crimes and violence rises and falls in response to certain laws and policing methods. Overall, I think cities can be a useful metric for how we view society as a whole.
A13PXTFOXDCKBF	essay3	I would agree with this statement in the short term but in the long term I would disagree with it completely. While scandals can provide people with a laser sharp focus on the problems in our society they often do not lead to larger change. For example, while people may feel outrage at a murder or some other form of injustice, the outrage does not last long enough for people to create action. People may need to move on due to the exhaustion from dealing with the matter. People also have problems with attention spans. It is hard for people to pay attention to multiple scandals, they will often feel overwhelmed or tune out complete.y
A14BW0VB7AP4IG	essay1	"I agree with this statement. I was raised without a lot of TV or technology around because my parents were against it. As a result, I've never owned a television as an adult and I'm not heavily attached to my phone the way I see that other people my age are. When I interact with other people who use technology in a more typical way I find it depressing that someone can sit and watch TV nonstop for hours a day and annoying when somebody has to look at their phone every five seconds. I criticize my significant other for being like this and say things like ""You can't come up with any better way to spend your time."" In my mind people who immerse themselves in technology become mindless, uninteresting blobs with no creativity."
A14BW0VB7AP4IG	essay2	That's not necessarily true. Population may be more concentrated in a major city but that doesn't mean that a majority of a society's populace is located there. An equal or greater amount of people in a society may be spread out in more rural areas and just not as obvious as ones in a metropolis. I think any society has two sides that are mostly equal -- the side you see in major cities and the rural side.
A14BW0VB7AP4IG	essay3	I agree with that. Scandals are a reality whereas someone soapboxing about an issue is just talking in vague hypotheticals. Scandals bring drama and realism to the public in a way that resonates with them more and hits home better.
A14X9MMC9P7XI8	essay1	"I tend to agree that as people rely more on technology to solve problems that our ability to think for ourselves will deteriorate. My reasons for thinking this way are that in school we are told to solve math problems with a calculator now and not try to solve it by ourselves. Also, since so much work done in school is now done on a computer, there is no need to teach cursive handwriting anymore. This is a shame because children are having a hard time reading cursive handwriting because they are not exposed to it anymore. I also feel that people are slacking off in thinking because they know they really do not have to. There is a saying that says ""There is an app for that"". I feel like people think they can just look everything up in an app or on Google and it will be fine, there is no need to think anymore."
A14X9MMC9P7XI8	essay2	I do not agree that one must study its major cities in order to understand the most important characteristics of a society. There are many different types of society such as a rural, farm community. One would not understand that society if one were only studying major cities. There are many aspects of society that are not only found in major cities. There are also negative and positive characteristics of a society and again, one would not find them only in major cities. It is never a wise idea to lump together things that we must do (understand the most important characteristics of a society by studying major cities), there is always a different viewpoint and another side to the story. The same holds true for society.
A14X9MMC9P7XI8	essay3	Scandals are useful because they do focus our attention on problems in ways that no person ever could. A prime example of this is the timely issue of the #MeToo movement. If the Harvey Weinstein scandal did not break in the public forum, the #MeToo movement would probably not be here and at the forefront of the entertainment industry. That scandal will have a lasting effect, not only in the entertainment industry but on society as a whole. If a speaker or reformer had brought about this movement in a different way, it probably would not be as powerful and moving as it is now. Because it was a scandal at first, it was brought out into the limelight much faster than say at a conference or a convention. It might not have ever received any public attention if it were brought up through a conference or convention.
A159ZKL4AIHIS	essay1	I personally believe in the sentiment that as people rely more on technology to solve problems, the ability of human to think for themselves will deteriorate. The premise of my belief is that as people begin to recognize that there is a method that's easier and more efficient then brain power, they will surely utilize that method. Take for example texting. As people are more apt to text their friends or family members compared to calling them, the loss of physical communication is missing. This also goes to saying with humans aptness in utilizing computers to solve
A159ZKL4AIHIS	essay2	I personally do not believe that to understand the most important characteristics of a society one must study it major cities. There are diverse people in rural and suburban parts of state. Therefore, geographical limitations should not be set in terms of understanding important characteristics of a society. Also, one's geographical location does not automatically guarantee that person complies with that specific location. The aforementioned person could have relocated to the major city taking with them the past remanof their society.
A159ZKL4AIHIS	essay3	Scandals are not useful in terms of focusing our attention on problems in ways that speaker or reformed ever could. In fact, I personally believe scandals create an intentional diversion from the true story at hand. Scandals could be theoretically used to create a scapegoat for a more mischievous problem at hand - hiding the true story in disguise and fooling the masses. Scandals are also salacious and filled with ignorance. These characteristics only slow one's personal growth. Instead, a speaker or reformer should speak from the heart their message. Those who understand and want to carry that message will. Those that don't understand aren't meant to at that particular moment.
A16G6PPH1INQL8	essay1	As humans become more dependent on technology, we are seeing people depending on their computers to find solutions for problems that we used to have to find ourselves.  In the old days before the internet and the information age, we couldn't just do a Google search for solutions.  For example, my washing machine was having problems.  In the old days, I would either have to order a manual for my washing machine, hire a repairman, or try different troubleshooting techniques myself.  But, I was able to put the problem in Google and find a video that showed me exactly what to do very quickly.  I also believe that creativity could suffer.  Children are addicted to games and are not doing as much imaginative play as they used to in the days before elec
A16G6PPH1INQL8	essay2	I think to understand a society, it is important to not only consider the major cities, but to consider all the other smaller cities as well.  Many people who live in major cities grew up in a smaller city, so their personalities were well-defined by the time they moved to a major city.  For example, in the US, there may be a large percentage of people living in major cities, but if you were to take all the people who live in smaller cities and compare to the few major cities, you would find a larger percentage in the smaller cities.  The smaller cities are the backbone of a society with hard-working people.  If you want to discuss the humanities, there are just as many artists and musicians in the smaller cities as there are in the major cities.  And, may scientists and bright minds choose to live in a place where it i
A16G6PPH1INQL8	essay3	Unfortunately, I believe scandals are useful to focusing our attention on problems.  As humans, we are all naturally voyeuristic to a certain extent, so we thrive on hearing the details in scandals.  For example, look at the #MeToo movement.  Since the 60's, women have been trying to get focus on the issues that they confront every day.  There have been feminists trying to change the way women are treated but women continued to suffer discrimination in the workforce and other areas of their lives.  But, once we heard about the Harvey Weinstein case and we learned that our favorite movie stars were all complicit in activities that should be frowned upon, everybody took notice in a way that has not been accomplished by all the decades of preaching.  We naturally love to hear gossip no matter how much we try to deny it.  The women who had been suffering in silence saw this as a way to get a platform and they ran with it.  I think all this can be linked back to the Harvey Weinstein case
A16SAB417Y96G4	essay1	I don't really agree with this. Humans have seen technology changes for generations. When the printing press was invented, people used it to learn more. I think the same will hold true with new technology. We will continue to grow and learn and use what is at our disposal to do so. We may lose the ability to speak on specific topics, but as long as the technology is there, we can immediately see what the answers are to the specific questions we have, which will nullify that problem. All in all, I think humans will continue to think for themselves as we are very narcissistic animals.
A16SAB417Y96G4	essay2	I think there is something to this, but it isn't fully true. There's no way just studying major cities will tell you anything about the society. One great instance of this to point to is the views on the last election. If you studied the major cities, you'd find that Hillary was a shoe in. However, you are missing the entire part of the country that ultimately elected Trump. There are many other things you will only find in small rural areas. So yes, study major cities, but don't leave out the fly over territories in those studies.
A16SAB417Y96G4	essay3	I don't think I really agree with this. I don't really understand the line of logic. Speakers and reformers aren't the only way to gain attention. Scandals are useful for how they get people to come together and inside of an echo chamber on issues. I don't think that scandals are very useful though. They just show how bad human beings can be, and often skew people's biases. I don't like how scandals are politicized.
A16ZR6O5HQP5AM	essay1	In a time of globalization and high competitiveness as is the changing world modern, it is necessary to be aware of the various aspects that are part of our environment. Not only in the economic issue, but also in the political, legal, social and cultural By being better informed, the young professional can take better decisions, as you understand how changes in the environment affect you. The handle and Understanding information efficiently is one of the main arguments that facilitates decision-making in today's world, and is a key factor for success in life
A16ZR6O5HQP5AM	essay2	In the present article a theoretical proposal is outlined to understand the concept of value of use applied to the study of the city and the urban space, in its genesis and its development. Retrieving Henri Lefebvre's thesis, the main hypothesis is that the city, in its origin, emerges as use value. Following the approaches of Bolívar Echeverría and Gilbert Durand, we observe that the use value is not only material and sign, semiotic, but also, symbolic. It is sketched that the symbolic plays a fundamental role in the construction of cities, with an importance of equal transcendence that the economy and politics. A case study is carried out to propose a convergence of theoretical interpretations that go from historical materialism to symbolic hermeneutics. It is concluded that the city and the organization of its urban space are fundamental axes through which societies are organized.
A16ZR6O5HQP5AM	essay3	"Conflicts can be compared to an iceberg or a matrioska because when it comes to identifying them, the first thing that we have before our eyes is clearly visible (although this idea is also debatable since it is a question of perception that we will address in another post), which with only one look we observe and even anticipate to interpret. However, if we ""graduate the glasses"" and submerge ourselves to look with greater field of action, we will observe other aspects of the conflict so far unidentified, which are where the true essence of the difference lies and therefore, where we can look for the solution."
A171WYV1TRESW8	essay1	"I agree with the statement ""As people rely more on technology to solve problems, the ability of humans to think for themselves will surely deteriorate"". We rely on auto correct, spell check, google maps etc. I love technology, but when we rely on technology too much it will hinder our learning process. There are pictures of people with their friends spending time, but they are all on their phone googling things instead of actually spending time with friends.  Technology is helpful everything in moderation. Too much alcohol"
A171WYV1TRESW8	essay2	I agree and disagree with this statement. Cities are good they are abundant with opportunity. Cities are not the best  characteristics of society. What about the Farmer who grows food for the masses living in the city. Without the people living in rural areas farming the people in the city wouldn't survive because they would be without food. The best part of society is not the city nor the rural farmer either. The  best part of society is the people that make it up. It is the culture and different backgrounds from each other that help us to make a great society.
A171WYV1TRESW8	essay3	I agree that scandals are good. We humans are the trickiest mammals on this planet. I'm not worried about the monkeys, I'm worried about you and me. If there is one thing we can expect people to be is human. So some people are evil, some are mean, some are only out for them selves and instant and self gratification. When we see and witness these scandals it truly shows some people aren't nice, they are not your friend and don't care about anyone but them self. Scandals remind us to be aware that everyone is not trust worthy and they only care about them selves and self gratification. We need to pay attention to our world leaders are doing and proposing, what laws they are tryin
A177EXELDLWTWV	essay1	The main issue with technology is that it makes people work less for the desired result. So they pend less time learning the basics. They have smaller reasoning abilities and have shorter attention spans compared to people back int eh day. technology allows us to devote our thinking power towards newer tasks. Instead of taking time to calculate a long arithmetic problem, we can use a calculator to do it in seconds and devote the remaining time to solving an overarching math problem. Technology enhances our thinking skills, instead of deteriorating it. Using technology does not decide our opinions on matters. Despite using the internet to answer questions, people still disagree or agree with the answers.
A177EXELDLWTWV	essay2	A society’s characteristics are defined by the attributes and customs of its people. If they are wealthy, a society is rich. If they are broad-minded, the society is tolerant. Therefore, can we label the experiences and traits of a small group of people, who arguably are in the best position the society can offer, as that of the rest as well? Would it be logical to assume that the characteristics of India’s metropolitan – Delhi, Mumbai, and Kolkata – are an accurate representation of the rest of the country and therefore, if someone was set out to study Indian society, these cities are all they should look in to? Absolutely not, because these cities do not speak for the majority of the population. The success, achievements, and stature of the top 2% does not hold true for the remaining 98% in society.
A177EXELDLWTWV	essay3	Arising scandals can be detrimental to society as they are distracting. Political issues such as the economic well being of a nation, or immigration in the United States usually take a back seat in comparison to scandals. In the United States, it seems that scandals take precedence in media coverage over important political issues resulting in mass ignorance over issues that truly matter.Yet some scandals bring about the nations focus on the rampant corruption of some individuals and companies. leading to greater social change,
A17AMTRIYI2Z2D	essay1	I disagree that it will overall lower humanity's ability to think for themselves. It will simply make people smarter at harder things. People won;t have to worry about the small stuff. They can work harder on tougher projects. Small distractions won't be in the way and they can free up their thinking. The more you have on your mind the slower it will think.
A17AMTRIYI2Z2D	essay2	I don't think that this is necessarily true. While you might find the most people in major cities, it doesn't mean they practice the most important virtues of society. I think you'd have to study small towns, suburbs, mid sized cities, large cities, minor, and major cities. That way you'd have a cross section of the country's characteristics and can figure out the what the most important ones are from that data. Not just a small subsection like a major city is.
A17AMTRIYI2Z2D	essay3	Scandals are usually bad. They are based on conjecture a lot of the times. While they may shine a light on dirty deeds, it's important to not get too prejudiced. I think a person who is reasonable can have more power and reach people more civilly than a scandal does. If they have the facts, ability, and confidence, they can speak louder than a scandal ever would.
A18G2CLYSTENK	essay1	It is my opinion that people will be the same in the future as they are now in regards to problem solving. People have always relied on others or outside sources to solve their problems. Whether it was a butler, a company, or some other source, people are lazy a lot of times when it comes to problem solving.  While people will be able to rely on technology it will still come down to the individual figuring out how to utilize the technology to solve their problems. The people who already lack problem solving skills will not be able to utilize the technology.
A18G2CLYSTENK	essay2	I do not believe that the cities hold the key to understanding society. Cities make up only one portion of the living environments on earth. Why would they hold the key to understanding society as a whole then? Towns, suburbs, and smaller populated environments hold key aspects that need studying as well.   People interact differently depending on the environment they are in. If data is taken from cities as well as smaller populated environments then this data is able to be analyzed as a whole which should give a clearer picture as to how society operates rather than just studying one part of the equation.
A18G2CLYSTENK	essay3	I do not agree that scandals are useful because they focus our attention in ways that speakers or other people can. People and reformers are usually the individuals exposing the scandal in the first place.   The scandal is the result of the action, not the cause. Without having people, speakers, reformers etc to focus our attention in the first place the scandal will never come to light. There cannot be scandals without he people willing to step up and speak out against the things they agree with. People expose information all the time and it is not labeled as a scandal. A scandal is only the interpretation of the event.
A19UBZFVUWL1ES	essay1	It is practically an evolutionary certainty that increased computerization and automation will lead to a decline in our ability to think for ourselves.  As the old saying goes, use it or lose it.  If we no longer have to do thoughtful analysis and solve complex problems, relying instead on artificial intelligence for example, then our ability to do such tasks will deteriorate.  Like any skill, problem solving and analytical thinking require regular practice.  Those who don't exercise their mind will see it atrophy over time.  Humans need to find new and creative ways to stay engaged in their own personal time if their jobs will no longer call on them to think deeply.
A19UBZFVUWL1ES	essay2	I don't believe it is true that one must study major cities in order to understand the most important characteristics of a society.  In fact, I believe that the opposite is true.  Within major cities, there is a bias toward like minded thinking and living.  Only in rural America will you encounter the broad diversity of our population.  It is there that you will find the blue collar workers, farmers, fishermen, and others that prop up our nation and provide it with the food, clothing and shelter necessary for survival.  Within major cities, you are more likely to encounter elitists who are out of touch with the roots of America and the working class attitude that build our country.
A19UBZFVUWL1ES	essay3	Scandals are indeed useful in their own unique way.  They are outrageous by their very nature and often cause a visceral response among the observers.  They provide a single event that we can turn our attention to with laser-like focus.  Take mass shootings at schools as an example.  Far more youth in our nation fall victim to gun violence in our inner cities than do at any one mass shooting.  More people die by homicide many weekends of the year in Chicago than do in most mass shootings.  But these chronic conditions fail to move us to action.  It is the isolated, horrifying events that capture our attention and rally us to cry for change.
A19XQH5DG3UO0	essay1	As people rely more and more on technology to solve problems, the ability of humans to think for themselves will surely deteriorate. Write a response in which you discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position.  In the era of advanced technology, technology has undoubtedly changed the way people live. With the use of calculators, people gradually get rid of mental arithmetic. Due to this fact, some people argue that the ability of humans to think for themselves will undoubtedly decline. This is because when relying excessively on instruments, people may hardly figure out the right number without calculators if the calculation becomes somewhat complicated.  Admittedly, it is true that human’s ability of calculation might diminish to some extent. However, technology decidedly facilitates humans to think deeply for themselves through freeing them from trivial things. This is an indisputable fact that with versatile and state-of-the-art computers, especially mainframe, scientists no longer take pains to deal with complex and numerous formulas. Therefore, these talented scientists can spend their time and energy in doing more meaningful things by avoiding being bogged down with trivial computations. For instance, engineers who major in aerodynamics, can use the latest computers to simulate how the attitude of airplane will change with respect to different levels of wind. Thus, due to the assistance of modern instruments, these engineers can focus more on how to design planes to fly more safely and efficiently.  In contrast to the statement, we can see that people begin involving themselves in some more complex problems that did not occur in the past, which motivates humans to think assiduously for themselves. By utilizing technology, for example, people build large dams to store the water as well as preventing devastating floods. However, this approach also has led to consequences people never thought of. The Three Gorges Dam in China is an excellent instance of this point. After construction of this huge and marvelous dam, some unpremeditated problems emerged, such as undue fluctuations in temperature in local areas and sediments and silt deposited excessively under on the bottom of the Yellow River. As a result, this phenomenon forced experts in China to contemplate whether altering the local topography might negatively influence climate and to what extent. Therefore, humans’ ability to think for themselves has improved rather than deteriorated  In addition, technology also inevitably leads humanity to think of moral questions that did not appear in the past. One of the most profound and contentious moral questions is cloning. While cloning will definitely help sick people with deteriorating organs by cloning new ones, this technology is also likely to raise a debate of whether cloning is illicit or not. Will cloning finally crumple up our established morality, or must scientists stop doing research on cloning even if the advantages of cloning far exceed the disadvantages arising from this advanced technology? By answering these controversial questions, we, human race, are unquestionably engaged in thinking for ourselves.  All the evidence put forward supports an unshakable conclusion that although some human abilities, such as computation, are slightly worse because of reliance on calculators, the ability of thinking is expected to improve rather than deteriorate. On one hand, people, especially sophisticated scientists, will have more time to focus on significant as well as knotty problems. On the other hand, new questions that pop up appear as a result of technology involve humans in more profound contemplation.
